구분,품목구분,상품코드,상품명,내포입
상품,기획세트,PD24091300003,"트리플샤인 2개입(단상자,소비기한)",
상품,기획세트,PD25101500002,"트리플샤인 4개입(단상자,소비기한)",
상품,기획세트,PD24091300004,"트리플샤인 6개입(단상자,소비기한)",
상품,기획세트,PD25111200001,"케라그로우 2개입(단상자, 소비기한)",
상품,기획세트,PD26040300006,"케라그로우 4개입(단상자, 소비기한)",
상품,기획세트,PD25111200002,"케라그로우 6개입(단상자, 소비기한)",
상품,기획세트,PD25030600001,(KR/JP) 트리플콜라겐 선물패키지 1개입,
상품,기획세트,PD25030600002,(KR/JP) 트리플샤인 선물패키지 1개입,
상품,기획세트,PD25110500001,(JP) 선물패키지 체험키트 2개입,
상품,기획세트,PD25081900007,(컬리) 스킨시너지 2개입 세트,
상품,기획세트,PD25032800001,(25감사의달) 트리플콜라겐 2개입 세트,
상품,기획세트,PD25032800002,(25감사의달) 트리플샤인 2개입 세트,
상품,기획세트,PD25032800003,(25감사의달) 스킨시너지 2개입 세트,
상품,기획세트,PD25032800004,(25감사의달) 트리플콜라겐 6개입 세트,
상품,기획세트,PD25032800005,(25감사의달) 트리플샤인 6개입 세트,
상품,기획세트,PD25032800006,(25감사의달) 스킨시너지 6개입 세트,
상품,기획세트,PD25081900001,(25추석) 트리플콜라겐 2개입 세트,
상품,기획세트,PD25081900002,(25추석) 트리플샤인 2개입 세트,
상품,기획세트,PD25081900003,(25추석) 스킨시너지 2개입 세트,
상품,기획세트,PD25081900004,(25추석) 트리플콜라겐 6개입 세트,
상품,기획세트,PD25081900005,(25추석) 트리플샤인 6개입 세트,
상품,기획세트,PD25102900001,(25홀리데이) 트리플콜라겐 2개입 세트,
상품,기획세트,PD25102900002,(25홀리데이) 트리플샤인 2개입 세트,
상품,기획세트,PD25102900003,(25홀리데이) 스킨시너지 2개입 세트,
상품,기획세트,PD26021300002,"(카카오톡선물하기) 케라그로우 단독패키지 1개입",
상품,기획세트,PD26032700005,[26 감사의달] 트리플콜라겐 선물패키지 2개입,
상품,기획세트,PD26032700006,[26 감사의달] 트리플샤인 선물패키지 2개입,
